,Ka,embedding,epsilon,eta,mu,split0_r2,split1_r2,split2_r2,split3_r2,split4_r2,split5_r2,split6_r2,split7_r2,split8_r2,split9_r2,r2_mean,r2_std
0,10,5,1.3055267521432878,0.11610044354231798,0.4336547993389047,0.3437529838148649,0.6666348329624437,0.7622080316330205,0.6343815027325514,0.36051909689039363,0.5183576038755712,0.7422385572101315,0.4466397398191339,0.7754086007150869,0.20888038778293266,0.5459021337436131,0.1896947455292142
1,10,7,0.975174422525385,0.5530198332197334,0.9736627605010293,0.006146911594144333,-0.4434000726423891,-0.6437784230118844,0.30361935812576163,0.8611907498322575,-0.17810844078476956,-0.14536142523357037,0.7117152604604665,0.7433731978437026,0.5463335635561186,0.1761730679739838,0.5044831054501333
2,6,5,0.8855695922016594,0.43042814454794176,0.3473961604172684,0.6832833582215202,0.9306880966033123,0.5424232495833958,0.4228397732176479,0.4620046820537761,0.4964250219243528,0.9561473631272177,0.6637403918141278,0.7476697392327806,0.4992032959037112,0.6404424971681842,0.1809077666860081
3,9,8,0.8364830796810959,0.742186925988257,0.15035078041264516,0.5903452597734709,0.6403063445955002,0.6134503975554868,0.5339157677454548,0.6189458656370503,0.5972698349727686,0.815010439595048,0.6706648716257004,0.9102753813317696,0.47429963969888017,0.6464483802531129,0.12179989317406664
4,5,7,1.047216090547421,0.367429344323224,0.5304774795512048,-0.3004048389761959,0.6954416920405715,0.5641535523051908,0.8366898659658248,0.5460836920498925,0.5798793299459641,0.859659150411677,0.5471444521930048,0.891731335884803,0.4230771734141907,0.5643455405234923,0.32471062473317436
5,8,5,1.2640395841502143,0.11224257163317986,0.7686156243223572,0.004912923742731607,0.6285024899956582,0.35223235281364207,0.333554319353469,0.4929751357471499,0.6962136997824502,0.7103752298565269,0.6718668146341646,0.7770194795825635,0.12802958055219865,0.4795682026060555,0.2518801005930398
6,9,8,0.4726646866535199,0.27549697064293055,0.22655035442437188,0.3783829430229953,0.7392515420438928,0.4193380119473889,0.30067824047953196,0.5670935646616005,0.540002712996503,0.7920836881175155,0.8206263991108275,0.8435220053336507,0.5194481230052379,0.5920427230719144,0.1860511838506271
7,5,5,0.7482820155864282,0.01961105637099604,0.23232138825158766,0.5223723171523227,0.49138580400815,0.3896847302668535,-0.15299461462753142,-0.21523170450912552,0.5777736933967381,-0.07462924959955597,-0.009313864303913877,0.8000633782880898,0.3288676037267219,0.2657978093798749,0.33424068318123396
8,6,9,1.463640598206967,0.05041567913046524,0.44703195379934146,0.5883451372086812,0.15164321896779825,0.23567003232611974,0.47548869775712105,0.44951015967892555,0.03655593798467639,0.34697655223602947,0.2516714401446844,0.6528844669476905,-0.12793173140230524,0.30608139118494215,0.23316710076553568
9,6,6,2.0396181354934977,0.18897050452326994,0.18090958513604516,0.7123584954159027,0.7729385474362376,0.5124997947129274,0.5862751990215388,0.3710330002317832,0.4149367305866088,0.8434221125451398,0.5266042681067897,0.760604740135255,0.22111507350367843,0.5721787961695861,0.19060426648631756
10,7,8,1.6013722824369125,0.15411628486585807,0.3350472290083525,0.2930916954665804,0.6767431405602569,0.1401710891075127,0.3133576334120903,0.31563048477007477,0.17905866170066348,0.7365595452456628,0.8311442634308651,0.6630802932491345,0.08742277847934687,0.42362595854221874,0.2606643451726904
11,9,8,2.0767476761184525,0.01582779100343241,0.2188767560948347,0.4027764905912091,-0.10172906902311159,-0.03719764811495562,0.24224393544432976,0.216652956224504,-0.18036439913307806,0.6463083296838985,-0.06854109500158026,-0.12994777592947124,-0.26681089695545196,0.07233908277862929,0.27753751152070144
12,8,9,1.406216650930797,0.03126030542803097,0.4763107728563063,0.21045082575607127,0.3871220807010288,0.06250989033194057,0.12965182113709012,0.47634637054327894,0.2644912472990268,0.25805158823037316,0.08569434384969572,0.5961066303169551,-0.0786114662142125,0.23918133319512477,0.1936779646121337
13,8,7,0.4179391672910394,0.01643235439906002,0.6663295894652734,0.048009269505713915,-0.43286973311561316,0.1276888632668663,0.08646373079741901,0.1829054958540402,-0.24628914217398457,0.3487195852104311,-0.09290026495966294,0.3381745165633446,0.29190073242857906,0.06518030533771335,0.24390436811651917
14,6,6,1.9991421069014843,0.19712339352970853,0.023571635612109836,0.6894388951298327,0.7334145614017278,0.46672426378990295,0.46570447186851516,0.21865477608129696,0.7623173710959504,0.6910917780608287,0.6267265620233166,0.7403574239891405,0.2866309061929652,0.5681061009633476,0.18711167501580492
