,Ka,embedding,epsilon,eta,mu,split0_r2,split1_r2,split2_r2,split3_r2,split4_r2,split5_r2,split6_r2,split7_r2,split8_r2,split9_r2,r2_mean,r2_std
0,10,5,1.3055267521432878,0.08428303845098711,0.4336547993389047,-0.039084708364268035,-0.0725884560722533,-0.07964687207755403,-0.10904113284259334,0.006347069501277813,-0.02365054912331504,-0.10722786836778934,-0.03298914761455085,-0.03368943534005059,0.027311833883485116,-0.04642592664176116,0.04306190000972936
1,10,7,0.975174422525385,0.32741274355183697,0.9736627605010293,-0.08854181977311146,-0.07292976614324406,-0.0646222534862407,-0.027147437442306865,0.0032556987111620693,-0.03162754252677632,-0.03496703964205636,-0.013777351564785456,-0.025563043079852844,-0.01916760336451051,-0.03750881583117226,0.027288436161293124
2,6,5,0.8855695922016594,0.26331326638872216,0.3473961604172684,-0.09684147962946502,-0.05355638199410502,-0.0169726430701925,-0.4356912836017595,-0.10524019863890097,-0.14013489744744345,-0.06562017797653637,-0.026298298371267397,-0.048006480626630245,0.06029591536249511,-0.09280659259938054,0.1256511058001477
3,9,8,0.8364830796810959,0.42284179186531057,0.15035078041264516,-0.0995443868880227,-0.3735443164181474,-0.3561877160794992,-0.24805101306560515,0.015700877565531696,-0.15516372895019542,-0.07018577244080441,-0.28345001560651784,-0.19791392536535563,-0.20208672564006833,-0.19704267228886846,0.1179773322730198
4,5,7,1.047216090547421,0.22946864108986284,0.5304774795512048,-0.012057395354318268,-0.07695535816237604,-0.002730071179637078,-0.028427156783369552,-0.016424341664618473,-0.036480082787534195,0.008073438903211971,-0.028562423212905245,0.022185189246429864,-0.00960759116337535,-0.018098579215849238,0.025833147451325637
5,8,5,1.2640395841502143,0.08184289779753509,0.7686156243223572,-0.008747052604286033,-0.17927221787202385,-0.05378228378842102,-0.005061681888623287,0.011155923109971383,-0.025442624236847546,-0.06224645555233147,-0.21378885098560244,-0.01988336494513057,-0.06279727953004575,-0.06198658882933407,0.07169431222703
6,9,8,0.4726646866535199,0.17864953025317756,0.22655035442437188,-0.017800846096579948,-0.17552506905857643,-0.16835239602053256,-0.023234155245375497,-0.018166039897616327,-0.10930491147242591,0.059827016625033945,-0.06040029535001633,-0.02640561611499856,-0.01244559966649365,-0.05518079122975813,0.07065144286270474
7,5,5,0.7482820155864282,0.01795945319595433,0.23232138825158766,-0.013774141723482486,-0.2822947517748694,-0.06258674353608365,-0.1772324760079418,-0.16560790127999375,-0.25061669713067714,-0.17428682350939514,-0.3881182560609894,0.0033802307398325846,0.04286642508151882,-0.14682711352020816,0.13142367822217063
8,6,9,1.463640598206967,0.04081249443461285,0.44703195379934146,-0.0088379301390905,-0.14037430494320188,-0.00024960070034705796,-0.013541650402239147,-0.0056883313739371335,-0.16234499884657225,-0.048902551366791634,0.045840943579108395,-0.032603186114412805,-0.013541271474749279,-0.03802428817822333,0.06134775412322171
9,6,6,2.0396181354934977,0.12872571994414425,0.18090958513604516,-0.1211567953858437,-0.2924674821580745,-0.3363284177435034,-0.16903005403795496,-0.30957690271754645,-0.0579634943102556,0.01915545998709576,-0.47593748631676663,-0.06744066442066925,0.39346055413513004,-0.14172852829683885,0.2294504091043648
10,7,8,1.6013722824369125,0.10781670964151932,0.3350472290083525,-0.05073259235698736,-0.21118258166020656,-0.013769669330683704,-0.2509479864062456,-0.04904523617599243,-0.020561326814998237,-0.11816702033186313,-0.3560164210307943,-0.008060569788660377,0.04835419191618271,-0.1030129211980249,0.12254068541185595
11,9,8,2.0767476761184525,0.014906341705563488,0.2188767560948347,-0.04439060761282727,-0.08269497806119114,-0.04872698110333943,-0.19003909180070006,0.050714099464198414,-0.023910516941697955,0.01063571182462809,-0.12665614551580112,-0.020871606421874488,-0.10814772307688927,-0.05840878392454942,0.06679250285352036
12,8,9,1.406216650930797,0.026936107403545434,0.4763107728563063,-0.010722205226499448,-0.055355245264103535,-0.08151564492616228,-0.02596855775856896,0.005083017327892436,-0.3532549242326687,0.009528999975795,-0.05385686450042036,-0.06610062137892544,-0.00406625855901282,-0.0636228304542674,0.1010998311236573
13,8,7,0.4179391672910394,0.015400118196017266,0.6663295894652734,-0.00894074317452897,-0.0863852831176914,-0.0016860433312350486,-0.014078381305437848,-0.0022677654086386114,-0.3762622767599616,-0.006643540505564494,-0.015484297089035154,-0.015750104058615887,-0.008679274027988437,-0.053617770877869744,0.11008200733355775
