,QKLMS,QKLMS_AKB,QKLMS_AMK
0,0.249786712,0.262037292,0.39521452
1,0.807742823,0.825254171,0.708319726
2,0.921754819,0.930036983,0.819575871
3,0.687500276,0.678595166,0.605381405
4,0.680128094,0.6734621,0.849385493
5,0.777064594,0.772806753,2.68629207
6,0.861354163,0.863407202,8.130808956
7,0.824579284,0.830154656,12.96130008
8,0.658833559,0.65395848,8.270346009
9,0.458411952,0.456719066,2.514961569
10,0.338463371,0.334990966,0.971137699
11,0.289345117,0.291641087,0.536853475
12,0.283422771,0.290831138,0.408528545
13,0.296444243,0.307597509,0.396358045
14,0.307266368,0.318867614,0.403771961
15,0.30173921,0.310653806,0.400554735
16,0.284755551,0.290116135,0.396959752
17,0.304281334,0.308254708,0.493775552
18,0.46180115,0.471380356,1.069958849
19,0.769572367,0.791580332,2.853085759
20,0.953702446,0.95658343,5.620979518
21,0.827070839,0.784603354,6.579675413
22,0.599190184,0.532247152,4.510599263
23,0.416846614,0.367504272,2.058042936
24,0.313498375,0.295506986,0.787473568
25,0.285269158,0.295467536,0.420066037
26,0.32229672,0.349735555,0.410847512
27,0.39887647,0.4304403,0.470463985
28,0.481924104,0.500717931,0.518337349
29,0.551766265,0.556437908,0.555561979
30,0.610574951,0.60654901,0.592111829
31,0.665052336,0.657087769,0.630572698
32,0.719089673,0.709311472,0.668280473
33,0.773622894,0.763106284,0.701573033
34,0.8289616,0.817558522,0.729399513
35,0.878836049,0.866512628,0.745193432
36,0.905191144,0.891398331,0.729857432
37,0.84898583,0.839453302,0.655300826
38,0.637929297,0.635500401,0.500521012
39,0.360950321,0.363657636,0.396340701
40,0.367822593,0.382255288,0.591209764
41,0.394077955,0.417442846,0.667438326
42,0.350923959,0.372759981,0.553245865
43,0.344614267,0.370994439,0.663126472
44,0.357102251,0.397505686,1.349166204
45,0.390943691,0.455648169,2.937337581
46,0.450772618,0.53684007,4.082133225
47,0.51940657,0.605486539,3.069687575
48,0.568585768,0.621756484,1.734878797
49,0.58247759,0.599818853,1.231222368
50,0.565181677,0.562019211,1.040810381
51,0.540254892,0.532253452,0.910296528
52,0.522851554,0.514826807,0.833175574
53,0.517386195,0.510455151,0.805533733
54,0.526726905,0.519142384,0.824574414
55,0.548490367,0.545821614,0.891126904
56,0.581452618,0.581768009,1.003319595
57,0.617100805,0.619660808,1.146109925
58,0.642936077,0.646363669,1.284782084
59,0.652023576,0.653669759,1.3583078
60,0.636783087,0.636367434,1.326211297
61,0.609183612,0.601449454,1.215239774
62,0.569654428,0.560349167,1.047421113
63,0.528937285,0.522318845,0.899482893
64,0.502891941,0.494083307,0.787853627
65,0.485799806,0.48070669,0.731374138
66,0.488659711,0.488020724,0.72758918
67,0.511293343,0.514237716,0.784736055
68,0.552281781,0.560090747,0.916401128
69,0.604971327,0.618417945,1.114415692
70,0.656658567,0.66861691,1.339154784
71,0.680692115,0.693302219,1.510214725
72,0.673956028,0.680759182,1.532734076
73,0.63742479,0.638151547,1.403283684
74,0.586257245,0.579339343,1.167003057
75,0.529686391,0.523691756,0.923612088
76,0.484330786,0.477587605,0.749017
77,0.455907745,0.451849432,0.652778736
78,0.446136103,0.447523888,0.619837677
79,0.462400254,0.468551895,0.653623346
80,0.503958906,0.516073764,0.771106562
81,0.574884331,0.595827994,0.999738881
82,0.655384638,0.686524815,1.33802625
83,0.715465434,0.751060894,1.696463476
84,0.7310375,0.757126541,1.889463153
85,0.692792269,0.704446445,1.770457437
86,0.627305932,0.622388977,1.416073173
87,0.545973567,0.54104045,1.032011504
88,0.476035611,0.471524773,0.744894697
89,0.427214455,0.426745792,0.584448592
90,0.401552175,0.405888792,0.521862995
91,0.399956563,0.409606251,0.518449345
92,0.427476032,0.446691726,0.583695441
93,0.497038727,0.530510648,0.771710056
94,0.612674002,0.665078471,1.158259684
95,0.739790546,0.803509245,1.757067514
96,0.809359623,0.868556215,2.333212438
97,0.790491728,0.829121584,2.451530314
98,0.707812594,0.715029624,2.022236516
99,0.600943155,0.590316313,1.361921593
100,0.496493911,0.484960241,0.834431968
101,0.416498734,0.410749605,0.563780932
102,0.366324509,0.372535733,0.451826667
103,0.343436127,0.35976828,0.421460632
104,0.343337173,0.365828149,0.42838752
105,0.372451639,0.40542437,0.490072959
106,0.461221442,0.522508898,0.717206884
107,0.639139924,0.740373358,1.326278195
108,0.844534188,0.973518514,2.424580412
109,0.942216479,1.054418902,3.477863795
110,0.889252224,0.93686292,3.516911518
111,0.75088757,0.74145981,2.499648409
112,0.596455916,0.565147065,1.36121913
113,0.46474721,0.43701901,0.69982591
114,0.367992516,0.366038689,0.446825725
115,0.320634627,0.345597998,0.395625584
116,0.312462944,0.350123842,0.401061253
117,0.31680514,0.351871265,0.402905707
118,0.31261522,0.345095899,0.395265823
119,0.322233756,0.377299102,0.43440667
120,0.440969931,0.569362047,0.775257998
121,0.752909086,0.991383822,2.067626168
122,1.091561222,1.375834708,4.648984008
123,1.14204731,1.321443201,6.555556744
124,0.97475954,0.991279735,5.344809426
125,0.768691747,0.6860984,2.786266158
126,0.573110729,0.482755636,1.070589552
127,0.413407005,0.368611793,0.480722923
128,0.318044195,0.355950165,0.397219327
129,0.326719221,0.426239855,0.449086387
130,0.427353033,0.5296872,0.502268914
131,0.544071123,0.619893518,0.541470057
132,0.644311212,0.689236797,0.577821983
133,0.714484315,0.745754643,0.615567223
134,0.776731505,0.798151131,0.652502285
135,0.829224415,0.850640554,0.689696104
136,0.884585668,0.907718145,0.723675222
137,0.934547804,0.970018397,0.752647942
138,0.996554132,1.033708222,0.777200903
139,1.045013949,1.108963475,0.787525372
140,1.081758515,1.173308896,0.769287273
141,1.037337248,1.17207326,0.688484303
142,0.82392247,0.993941593,0.524943001
143,0.471879504,0.614027807,0.39531944
144,0.37310292,0.424387808,0.605205073
145,0.386282536,0.428322754,0.700724429
146,0.363711035,0.421512191,0.568877318
147,0.36955966,0.421282348,0.686733709
148,0.373913793,0.419854369,1.520313855
149,0.364723902,0.439083927,3.681238977
150,0.356090835,0.508777716,5.541984702
151,0.388644061,0.645923619,4.174519849
152,0.503115318,0.782006779,2.076262495
153,0.625217612,0.827123923,1.25203615
154,0.642907249,0.764435485,0.910216396
155,0.605094475,0.697655227,0.716804802
156,0.557669328,0.645607004,0.619916243
157,0.541737941,0.632511343,0.589177951
158,0.548291756,0.650412644,0.627215294
159,0.596320507,0.725494945,0.74851543
160,0.677204937,0.847414146,1.002436383
161,0.78059387,0.986498746,1.393876199
162,0.8682649,1.093206539,1.81529687
163,0.900103345,1.10398138,2.029079741
164,0.874032151,1.044451377,1.866472449
165,0.808424452,0.937007383,1.455745836
166,0.719380991,0.801058803,1.016279731
167,0.626344089,0.692046204,0.713630381
168,0.546217349,0.607167909,0.552240548
169,0.492141561,0.562500024,0.485787825
170,0.467860229,0.551802224,0.483642765
171,0.484413537,0.59482901,0.545410645
172,0.557422397,0.717155399,0.72869638
173,0.692914899,0.915584559,1.152720586
