,Ka,embedding,epsilon,eta,mu,split0_r2,split1_r2,split2_r2,split3_r2,split4_r2,split5_r2,split6_r2,split7_r2,split8_r2,split9_r2,r2_mean,r2_std
0,10,5,1.3055267521432878,0.08428303845098711,0.4336547993389047,0.535438889529208,0.14933485878403982,0.49559475695506194,0.2535984135299249,0.2972510412586369,0.5978199983415866,0.64431125221983,0.4956226868231866,0.4967252216368494,0.16280623526479712,0.41285033543431215,0.1715329745795233
1,10,7,0.975174422525385,0.32741274355183697,0.9736627605010293,-0.06300198131910348,-0.013546791809001129,-0.06833130958121862,-0.027948812474154074,-0.00791310296782451,-0.013102938165102624,-0.01913122356646123,-0.09569382918554142,-0.015964866671033907,-0.011393332678048896,-0.033602818841748996,0.029075551084976583
2,6,5,0.8855695922016594,0.26331326638872216,0.3473961604172684,0.5145356478570379,-0.05855812141148967,0.3451859937933684,0.2769962255421704,0.5009076071930371,-0.01148955129753379,0.6798560568870783,-0.0780574137828122,0.48406027639443694,0.26564140602055164,0.2919078127195845,0.25222448750038584
3,9,8,0.8364830796810959,0.42284179186531057,0.15035078041264516,0.46858751386896164,0.26135253167062966,0.6125927065035494,-0.0070371283470728905,0.31319511028585956,0.7234124176731789,0.5741210940039025,0.19372763430000142,0.5996062525569802,0.2976144243503897,0.40371725568663797,0.21679175665117753
4,5,7,1.047216090547421,0.22946864108986284,0.5304774795512048,0.13381534315972896,-0.061487852096215656,-0.08615443236803866,-0.07942907468907132,0.007371536449634675,0.462047966491925,-0.012718820022821303,-0.0500718519360311,0.021045027546492956,0.01863949376201331,0.03530573362976168,0.15490508817072185
5,8,5,1.2640395841502143,0.08184289779753509,0.7686156243223572,0.2253254199876383,-0.018924701684860157,-0.07093891691062369,0.05010952548739639,-0.022337964425920658,0.8501523850753999,-0.06017405870427339,0.08274278586446836,-0.013780115326357234,0.018356440081395912,0.10405307994442636,0.2616590812818833
6,9,8,0.4726646866535199,0.17864953025317756,0.22655035442437188,0.49823345669224944,0.12150822157142689,0.04869301480915404,-0.07849568038925768,-0.007149194188080093,0.7228745571226418,0.3562321692283753,0.06187397296711703,0.46987179548874314,-0.015821808842075437,0.21778205044602944,0.2591527559009745
7,5,5,0.7482820155864282,0.01795945319595433,0.23232138825158766,0.1618268914029286,0.23685615903559318,0.1159870012296711,0.29687538094931887,0.005832935139630524,0.6734025310415468,0.21258830684658775,0.2988618666469151,0.4358655392863535,0.25719222640896194,0.26952888379875073,0.17365551308724525
8,6,9,1.463640598206967,0.04081249443461285,0.44703195379934146,0.2842740012154454,-0.018395670362416638,-0.12709081824967328,-0.04045032560050941,-0.022544974906500214,0.47536932879683125,0.1548371850457781,0.3685666553801523,0.16109190952183713,0.2446180796500231,0.14802753704909677,0.18759150095934973
9,6,6,2.0396181354934977,0.12872571994414425,0.18090958513604516,0.5396436949179997,-0.06603702066691924,0.6761257048628012,0.13266878377238062,0.26513468295343035,0.3925235226690803,0.692662422357085,0.3245006087322638,0.5409097443842676,0.3921122250646633,0.38902443690470523,0.22643131329798805
