,QKLMS,QKLMS_AKB,QKLMS_AMK
370,5.117617638,5.040524695,13.56247122
371,5.023844186,4.958552012,13.15693687
372,4.934826731,4.840240673,12.70438488
373,4.842346787,4.74291062,12.25665491
374,4.759590828,4.644819562,11.68186996
375,4.65800063,4.552593342,11.22570873
376,4.565249533,4.463936029,10.77840591
377,4.483267166,4.376238649,10.44329671
378,4.401840678,4.295638364,10.06312478
379,4.321151214,4.210481721,9.716189174
380,4.251860522,4.152957533,9.453168486
381,4.183522305,4.078461155,9.152932226
382,4.129545022,4.023649215,8.910349888
383,4.063213603,3.964364601,8.68589048
384,4.030245051,3.917298409,8.468756078
385,3.981346484,3.891280294,8.307320982
386,3.952576868,3.851194849,8.155930242
387,3.915979867,3.842697801,8.056393329
388,3.904055455,3.836443533,7.910379466
389,3.900745789,3.833253559,7.865010033
390,3.894313854,3.837234701,7.884471046
391,3.897762243,3.848371858,7.964735069
392,3.927310273,3.880199945,8.056943809
393,3.972111003,3.913882692,8.168105102
394,3.989876687,3.975854423,8.327297401
395,4.048375291,4.041687757,8.511854765
396,4.11054728,4.103041413,8.7095697
397,4.185023825,4.19316797,8.934210721
398,4.248083765,4.277419394,9.255861824
399,4.347704703,4.39107595,9.617247786
400,4.429218373,4.507285916,10.01668256
401,4.526643228,4.629404009,10.46969969
402,4.647098695,4.760912897,10.9033903
403,4.76794573,4.904399106,11.50807216
404,4.909699808,5.054008383,12.10419349
405,5.033017163,5.205386308,12.76061238
406,5.152629294,5.347058156,13.42808613
407,5.282114003,5.516495444,14.05514949
408,5.419388821,5.627658489,14.77696441
409,5.544037986,5.756197046,15.49777199
410,5.666408321,5.902082243,16.24946155
411,5.776823389,6.011737774,16.93485269
412,5.882894818,6.145550894,17.64884674
413,5.98984257,6.227722054,18.34348527
414,6.068700929,6.303507451,18.91961891
415,6.108433116,6.378106578,19.46267737
416,6.172779551,6.421911778,19.97289831
417,6.201843566,6.461012954,20.26381362
418,6.228404686,6.466494247,20.36011403
419,6.227317871,6.439912477,20.54075509
