,Best_R2,Best_MSE,Best_CB_size,Best_eta,Best_mu,Best_epsilon,Best_K
lorenz,0.991836327555743,0.4147850770131095,361,1.0,0.021714285714285714,0.01,1.0
chua,0.9900533558704391,171945027.65675992,121,0.5842857142857143,0.0005,1.4314285714285715,23.285714285714285
duffing,0.999998629158658,0.00010008968443007918,52,1.0,0.007571428571428571,0.01,17.714285714285715
nose_hoover,0.9998020058281611,0.00019033586681273024,252,1.0,0.0005,0.01,23.285714285714285
rikitake,0.9997367628367508,0.0007885920829425075,4,1.0,0.05,0.2942857142857143,1.0
rossler,0.9994170460548604,0.0019788429585410796,653,1.0,0.0005,0.01,28.857142857142854
wang,0.9987583005104446,0.0014214855524874112,475,1.0,0.0005,0.01,23.285714285714285
