,eta,epsilon,sigma,testing_mse,CB_size,tradeOff_dist
0,0.05,0.1,0.01,0.8170351431577432,358,0.8219279942031381
1,0.05,0.1,0.1,0.22930132379081977,358,0.24616721876038322
2,0.05,0.1,1.0,0.01923786863085332,358,0.09159311158301134
3,0.05,0.1,2.0,0.021236202853045123,358,0.0920335743716155
4,0.05,0.1,4.0,0.05168735092912515,358,0.10339625112193639
5,0.05,0.1,8.0,0.08739637546868748,358,0.12512924895908148
6,0.05,0.5,0.01,1.0337705497527316,57,1.0338694499481378
7,0.05,0.5,0.1,0.627328646354478,57,0.6274916099335048
8,0.05,0.5,1.0,0.026998035042933206,57,0.030551332150651787
9,0.05,0.5,2.0,0.023927057866726727,57,0.027874613865624925
10,0.05,0.5,4.0,0.05464562613713394,57,0.056485701340422564
11,0.05,0.5,8.0,0.09314457018407223,57,0.09423587933889914
12,0.05,1.0,0.01,1.2591541995413642,19,1.2591640277770222
13,0.05,1.0,0.1,1.6916837129669393,19,1.691691028333073
14,0.05,1.0,1.0,0.03929327033379304,19,0.03960696553037786
15,0.05,1.0,2.0,0.029537382409982084,19,0.029953423587855847
16,0.05,1.0,4.0,0.060004047256895884,19,0.0602099353280486
17,0.05,1.0,8.0,0.09645580341771633,19,0.09658401854322037
18,0.05,2.0,0.01,1.741420375748883,7,1.7414213584234521
19,0.05,2.0,0.1,4.106306215038215,7,4.106306631775259
20,0.05,2.0,1.0,0.059743661459034106,7,0.05977229780200588
21,0.05,2.0,2.0,0.03484359694349796,7,0.0348926747034523
22,0.05,2.0,4.0,0.06450280277738354,7,0.06452932717871804
23,0.05,2.0,8.0,0.1016975503490238,7,0.10171437581282318
24,0.1,0.1,0.01,0.8576968769969373,358,0.862359052431352
25,0.1,0.1,0.1,0.1623892858944635,358,0.18544401492988066
26,0.1,0.1,1.0,0.021639759642599978,358,0.09212752953048017
27,0.1,0.1,2.0,0.029042901718500446,358,0.09414187506221912
28,0.1,0.1,4.0,0.09939863493438672,358,0.1337882323929107
29,0.1,0.1,8.0,0.30573158913286724,358,0.3185765325533385
30,0.1,0.5,0.01,1.5309668204168267,57,1.531033603555849
31,0.1,0.5,0.1,0.8564614290724242,57,0.8565808014943944
32,0.1,0.5,1.0,0.03315236561923828,57,0.03610497675046548
33,0.1,0.5,2.0,0.03466389473969246,57,0.03749767457489169
