,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ar__th,param_extract__fs,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,13.048557424545288,3.0570854551744167,1.0969793319702148,0.30994268974745287,0.4614243464826485,250,"{'ar__th': 0.4614243464826485, 'extract__fs': 250}",,,0.21333333333333332,,,,,1,1.3482048553367572,0.7687589897480362,1.0727800992839096,1.8342231401519338,1.730333311727633,1.350860079249654,0.39845124838124274
1,9.287817764282227,0.8704663339494705,0.8189225196838379,0.014171518509918624,0.30783467359786765,250,"{'ar__th': 0.30783467359786765, 'extract__fs': 250}",,,0.21333333333333332,,,,,2,1.3482048553367572,0.7687589897480362,1.0727800992839096,1.8342231401519338,1.730333311727633,1.350860079249654,0.39845124838124274
2,33.507085466384886,11.821991503772223,5.310629034042359,4.6910904495661025,0.200303571717427,250,"{'ar__th': 0.200303571717427, 'extract__fs': 250}",,,0.23997551270278542,,,,,3,1.3677548984903554,0.6791445434339564,1.2300325450407001,1.785766610573444,1.5629984051036687,1.3251394005284247,0.37334302798129043
3,9.860625648498536,1.562831123564244,0.8069231033325195,0.00857363473313108,0.6027419147445963,250,"{'ar__th': 0.6027419147445963, 'extract__fs': 250}",,,0.21333333333333332,,,,,4,1.3482048553367572,0.7687589897480362,1.0727800992839096,1.8342231401519338,1.730333311727633,1.350860079249654,0.39845124838124274
4,53.80070271492004,7.800847505614574,8.00920820236206,4.791610247530251,0.1758008517433806,250,"{'ar__th': 0.1758008517433806, 'extract__fs': 250}",,,0.19089359629900135,,,,,5,1.1082077923982825,0.6286357894649871,1.036324725717468,1.8633672847601381,1.211914712426409,1.1696900609534568,0.3993186994633169
0,9.658838033676147,0.6564996629359363,0.8242973327636719,0.016299850294844022,0.4211406485527517,250,"{'ar__th': 0.4211406485527517, 'extract__fs': 250}",,,0.21333333333333332,,,,,1,1.3482048553367572,0.7687589897480362,1.0727800992839096,1.8342231401519338,1.730333311727633,1.350860079249654,0.39845124838124274
1,8.762881898880005,0.45891912324475287,0.7999426841735839,0.012517712447310213,0.6989290701383128,250,"{'ar__th': 0.6989290701383128, 'extract__fs': 250}",,,0.21333333333333332,,,,,2,1.3482048553367572,0.7687589897480362,1.0727800992839096,1.8342231401519338,1.730333311727633,1.350860079249654,0.39845124838124274
2,9.967039442062378,0.9908117165887329,0.8142199993133545,0.021468806191152504,0.3562718944350731,250,"{'ar__th': 0.3562718944350731, 'extract__fs': 250}",,,0.21333333333333332,,,,,3,1.3482048553367572,0.7687589897480362,1.0727800992839096,1.8342231401519338,1.730333311727633,1.350860079249654,0.39845124838124274
3,10.24846692085266,1.2843864815617663,0.8134194850921631,0.007362069462463383,1.0096161274651039,250,"{'ar__th': 1.0096161274651039, 'extract__fs': 250}",,,0.21333333333333332,,,,,4,1.3482048553367572,0.7687589897480362,1.0727800992839096,1.8342231401519338,1.730333311727633,1.350860079249654,0.39845124838124274
4,269.37687854766847,29.45929904803013,67.26415452957153,14.060609492179676,0.12162911479029695,250,"{'ar__th': 0.12162911479029695, 'extract__fs': 250}",,,0.08333333333333337,,,,,5,0.9759966504654602,0.5723156587415642,1.1298902606310013,1.4495420068695333,1.110454955753357,1.0476399064921833,0.2840077626020714
0,10.210074377059936,1.473097499947839,0.8216514587402344,0.01844551212009982,0.564998943049618,250,"{'ar__th': 0.564998943049618, 'extract__fs': 250}",,,0.21333333333333332,,,,,1,1.3482048553367572,0.7687589897480362,1.0727800992839096,1.8342231401519338,1.730333311727633,1.350860079249654,0.39845124838124274
1,9.060483169555663,1.0343131827453291,0.8194305419921875,0.008197609232283777,0.44511339765461333,250,"{'ar__th': 0.44511339765461333, 'extract__fs': 250}",,,0.21333333333333332,,,,,2,1.3482048553367572,0.7687589897480362,1.0727800992839096,1.8342231401519338,1.730333311727633,1.350860079249654,0.39845124838124274
2,139.37276134490966,23.421589968580165,34.23938302993774,6.770974047622715,0.14375281245712204,250,"{'ar__th': 0.14375281245712204, 'extract__fs': 250}",,,0.12905349794238669,,,,,3,0.9370569566822555,0.5218949905893804,1.2031264675624733,1.3683692166415216,1.202633443806256,1.0466162150563776,0.2965459233700561
3,10.040500497817993,0.8016123925677664,0.8205667495727539,0.0116425239168776,0.6497865023582887,250,"{'ar__th': 0.6497865023582887, 'extract__fs': 250}",,,0.21333333333333332,,,,,4,1.3482048553367572,0.7687589897480362,1.0727800992839096,1.8342231401519338,1.730333311727633,1.350860079249654,0.39845124838124274
4,179.87174592018127,27.75590922492291,41.146708726882935,12.41505858066492,0.1379767572276778,250,"{'ar__th': 0.1379767572276778, 'extract__fs': 250}",,,0.12350346565847486,,,,,5,0.9347071164190038,0.7302995058024404,0.9123978609239869,1.5186602870813402,0.9614694818638461,1.0115068504181235,0.2662730584110363
0,11.965535259246826,2.5546843601553904,1.2848310947418213,0.9568581643472086,0.3008431952676788,250,"{'ar__th': 0.3008431952676788, 'extract__fs': 250}",,,0.21333333333333332,,,,,1,1.3545939375023346,0.7687589897480362,1.1482846381147218,1.8342231401519338,1.730333311727633,1.3672388034489318,0.3888935327895184
1,11.23974552154541,3.3231601932659425,0.8177309513092041,0.01540709074137234,0.2739250486841257,250,"{'ar__th': 0.2739250486841257, 'extract__fs': 250}",,,0.21333333333333332,,,,,2,1.3482048553367572,0.7687589897480362,1.0727800992839096,1.8420071920622885,1.6305172839398365,1.3324536840741656,0.3831231826745229
