,eta,epsilon,sigma,r2,mse,CB_size,tradeOff_dist
12,0.1,23,10,-3.458954327,250.7637523,113,275.0481039
18,0.1,32,10,-4.557851718,312.5638097,66,319.4559987
204,0.9,41,10,-5.557740998,368.7958249,45,371.531103
168,0.74,41,10,-5.908972879,388.5484884,45,391.1456607
132,0.58,41,10,-6.326429848,412.0255344,45,414.4756218
96,0.42,41,10,-6.82422957,440.0209156,45,442.3159574
24,0.1,41,10,-7.349901705,469.5837924,45,471.7350295
60,0.26,41,10,-7.389013383,471.7833643,45,473.9246173
210,0.9,50,10,-8.816739526,552.0761727,31,552.9458386
174,0.74,50,10,-9.347356583,581.9171431,31,582.742277
138,0.58,50,10,-10.01884944,619.6807207,31,620.4556355
30,0.1,50,10,-10.73699719,660.068088,31,660.7956423
102,0.42,50,10,-10.82859319,665.219286,31,665.9412125
66,0.26,50,10,-11.65881557,711.9095326,31,712.5841583
,,,,,,,
