,eta,epsilon,sigma_init,mu,K,r2,mse,CB_size,tradeOff_dist
0,0.1,0.001,0.01,0.0001,2,-0.003220433021764224,7043875.200954173,1961,7043875.473923299
1,0.1,0.001,0.01,0.0001,6,-0.003220433021764224,7043875.200954173,1961,7043875.473923299
2,0.1,0.001,0.01,0.0001,11,-0.003220433021764224,7043875.200954173,1961,7043875.473923299
3,0.1,0.001,0.01,0.0001,15,-0.003220433021764224,7043875.200954173,1961,7043875.473923299
4,0.1,0.001,0.01,0.0001,20,-0.003220433021764224,7043875.200954173,1961,7043875.473923299
5,0.1,0.001,0.01,0.250075,2,-0.003220433021764224,7043875.200954173,1961,7043875.473923299
6,0.1,0.001,0.01,0.250075,6,-0.003220433021764224,7043875.200954173,1961,7043875.473923299
7,0.1,0.001,0.01,0.250075,11,-0.003220433021764224,7043875.200954173,1961,7043875.473923299
8,0.1,0.001,0.01,0.250075,15,-0.003220433021764224,7043875.200954173,1961,7043875.473923299
9,0.1,0.001,0.01,0.250075,20,-0.003220433021764224,7043875.200954173,1961,7043875.473923299
10,0.1,0.001,0.01,0.50005,2,-0.003220433021764224,7043875.200954173,1961,7043875.473923299
11,0.1,0.001,0.01,0.50005,6,-0.003220433021764224,7043875.200954173,1961,7043875.473923299
12,0.1,0.001,0.01,0.50005,11,-0.003220433021764224,7043875.200954173,1961,7043875.473923299
13,0.1,0.001,0.01,0.50005,15,-0.003220433021764224,7043875.200954173,1961,7043875.473923299
14,0.1,0.001,0.01,0.50005,20,-0.003220433021764224,7043875.200954173,1961,7043875.473923299
15,0.1,0.001,0.01,0.7500249999999999,2,-0.003220433021764224,7043875.200954173,1961,7043875.473923299
16,0.1,0.001,0.01,0.7500249999999999,6,-0.003220433021764224,7043875.200954173,1961,7043875.473923299
17,0.1,0.001,0.01,0.7500249999999999,11,-0.003220433021764224,7043875.200954173,1961,7043875.473923299
18,0.1,0.001,0.01,0.7500249999999999,15,-0.003220433021764224,7043875.200954173,1961,7043875.473923299
19,0.1,0.001,0.01,0.7500249999999999,20,-0.003220433021764224,7043875.200954173,1961,7043875.473923299
20,0.1,0.001,0.01,1.0,2,-0.003220433021764224,7043875.200954173,1961,7043875.473923299
21,0.1,0.001,0.01,1.0,6,-0.003220433021764224,7043875.200954173,1961,7043875.473923299
22,0.1,0.001,0.01,1.0,11,-0.003220433021764224,7043875.200954173,1961,7043875.473923299
23,0.1,0.001,0.01,1.0,15,-0.003220433021764224,7043875.200954173,1961,7043875.473923299
24,0.1,0.001,0.01,1.0,20,-0.003220433021764224,7043875.200954173,1961,7043875.473923299
25,0.1,0.001,50.0075,0.0001,2,-1.6972902464829076e-05,7021382.862731345,1961,7021383.136574903
26,0.1,0.001,50.0075,0.0001,6,-1.697290291868825e-05,7021382.862734531,1961,7021383.136578089
27,0.1,0.001,50.0075,0.0001,11,-1.6972903079670587e-05,7021382.862735661,1961,7021383.136579218
28,0.1,0.001,50.0075,0.0001,15,-1.697290310676003e-05,7021382.862735851,1961,7021383.136579408
29,0.1,0.001,50.0075,0.0001,20,-1.6972903110978876e-05,7021382.8627358815,1961,7021383.136579439
30,0.1,0.001,50.0075,0.250075,2,0.5623021016733027,3073192.361370393,1961,3073192.9870260884
31,0.1,0.001,50.0075,0.250075,6,0.5623021016624481,3073192.361446607,1961,3073192.9871023023
32,0.1,0.001,50.0075,0.250075,11,0.5623021016585963,3073192.361473651,1961,3073192.9871293465
33,0.1,0.001,50.0075,0.250075,15,0.562302101657949,3073192.361478196,1961,3073192.987133892
34,0.1,0.001,50.0075,0.250075,20,0.562302101657846,3073192.3614789187,1961,3073192.987134614
35,0.1,0.001,50.0075,0.50005,2,0.6235401643912111,2643223.7750708824,1961,2643224.502500869
36,0.1,0.001,50.0075,0.50005,6,0.623540164376435,2643223.7751746294,1961,2643224.502604616
