,eta,epsilon,sigma,r2,mse,CB_size,tradeOff_dist
192,0.9,8.006,100,0.021854462,6867817.751,1414,6867817.897
198,0.9,12.004,100,0.021854429,6867817.986,1307,6867818.11
204,0.9,16.002,100,0.021854273,6867819.075,1236,6867819.186
210,0.9,20,100,0.02185377,6867822.609,1186,6867822.711
144,0.74,0.01,100,0.019149567,6886809.534,1961,6886809.813
150,0.74,4.008,100,0.019149551,6886809.645,1578,6886809.826
156,0.74,8.006,100,0.019149524,6886809.837,1414,6886809.982
162,0.74,12.004,100,0.019149479,6886810.153,1307,6886810.277
168,0.74,16.002,100,0.019149266,6886811.647,1236,6886811.758
174,0.74,20,100,0.01914859,6886816.394,1186,6886816.496
108,0.58,0.01,100,0.016045609,6908603.236,1961,6908603.515
114,0.58,4.008,100,0.016045588,6908603.389,1578,6908603.57
120,0.58,8.006,100,0.01604555,6908603.651,1414,6908603.795
126,0.58,12.004,100,0.016045486,6908604.101,1307,6908604.225
132,0.58,16.002,100,0.016045177,6908606.271,1236,6908606.381
138,0.58,20,100,0.016044226,6908612.95,1186,6908613.052
1,0.1,0.01,180,0.01389385,6923711.31,1961,6923711.588
7,0.1,4.008,180,0.013893751,6923712.001,1578,6923712.181
13,0.1,8.006,180,0.013893555,6923713.378,1414,6923713.523
19,0.1,12.004,180,0.013893346,6923714.842,1307,6923714.966
25,0.1,16.002,180,0.013893049,6923716.929,1236,6923717.039
31,0.1,20,180,0.013892051,6923723.936,1186,6923724.037
72,0.42,0.01,100,0.012393633,6934244.725,1961,6934245.003
78,0.42,4.008,100,0.012393601,6934244.947,1578,6934245.127
84,0.42,8.006,100,0.012393549,6934245.318,1414,6934245.463
90,0.42,12.004,100,0.012393449,6934246.017,1307,6934246.14
96,0.42,16.002,100,0.012392963,6934249.432,1236,6934249.543
102,0.42,20,100,0.012391539,6934259.426,1186,6934259.528
36,0.26,0.01,100,0.007927913,6965599.727,1961,6965600.003
42,0.26,4.008,100,0.007927864,6965600.066,1578,6965600.245
48,0.26,8.006,100,0.007927786,6965600.613,1414,6965600.757
54,0.26,12.004,100,0.007927606,6965601.878,1307,6965602
60,0.26,16.002,100,0.007926745,6965607.926,1236,6965608.036
66,0.26,20,100,0.007924448,6965624.05,1186,6965624.151
0,0.1,0.01,100,0.002059439,7006803.829,1961,7006804.104
6,0.1,4.008,100,0.002059368,7006804.326,1578,7006804.504
12,0.1,8.006,100,0.002059248,7006805.171,1414,7006805.314
18,0.1,12.004,100,0.002058777,7006808.475,1307,7006808.597
24,0.1,16.002,100,0.002057044,7006820.646,1236,7006820.755
30,0.1,20,100,0.002053361,7006846.506,1186,7006846.606
,,,,,,,
