,eta,epsilon,mu,K,r2,mse,CB_size,tradeOff_dist
108,0.02,60.0004,0.0001,2,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
109,0.02,60.0004,0.0001,5,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
110,0.02,60.0004,0.0001,9,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
111,0.02,60.0004,0.0001,12,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
112,0.02,60.0004,0.0001,16,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
113,0.02,60.0004,0.0001,20,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
114,0.02,60.0004,0.20007999999999998,2,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
115,0.02,60.0004,0.20007999999999998,5,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
116,0.02,60.0004,0.20007999999999998,9,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
117,0.02,60.0004,0.20007999999999998,12,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
118,0.02,60.0004,0.20007999999999998,16,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
119,0.02,60.0004,0.20007999999999998,20,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
120,0.02,60.0004,0.40005999999999997,2,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
121,0.02,60.0004,0.40005999999999997,5,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
122,0.02,60.0004,0.40005999999999997,9,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
123,0.02,60.0004,0.40005999999999997,12,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
124,0.02,60.0004,0.40005999999999997,16,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
125,0.02,60.0004,0.40005999999999997,20,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
126,0.02,60.0004,0.6000399999999999,2,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
127,0.02,60.0004,0.6000399999999999,5,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
128,0.02,60.0004,0.6000399999999999,9,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
129,0.02,60.0004,0.6000399999999999,12,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
130,0.02,60.0004,0.6000399999999999,16,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
131,0.02,60.0004,0.6000399999999999,20,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
132,0.02,60.0004,0.80002,2,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
133,0.02,60.0004,0.80002,5,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
134,0.02,60.0004,0.80002,9,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
135,0.02,60.0004,0.80002,12,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
136,0.02,60.0004,0.80002,16,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
137,0.02,60.0004,0.80002,20,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
138,0.02,60.0004,1.0,2,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
139,0.02,60.0004,1.0,5,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
140,0.02,60.0004,1.0,9,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
141,0.02,60.0004,1.0,12,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
142,0.02,60.0004,1.0,16,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
143,0.02,60.0004,1.0,20,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
144,0.02,80.0002,0.0001,2,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
145,0.02,80.0002,0.0001,5,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
146,0.02,80.0002,0.0001,9,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
147,0.02,80.0002,0.0001,12,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
148,0.02,80.0002,0.0001,16,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
149,0.02,80.0002,0.0001,20,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
150,0.02,80.0002,0.20007999999999998,2,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
151,0.02,80.0002,0.20007999999999998,5,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
152,0.02,80.0002,0.20007999999999998,9,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
153,0.02,80.0002,0.20007999999999998,12,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
154,0.02,80.0002,0.20007999999999998,16,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
155,0.02,80.0002,0.20007999999999998,20,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
156,0.02,80.0002,0.40005999999999997,2,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
157,0.02,80.0002,0.40005999999999997,5,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
158,0.02,80.0002,0.40005999999999997,9,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
159,0.02,80.0002,0.40005999999999997,12,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
160,0.02,80.0002,0.40005999999999997,16,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
161,0.02,80.0002,0.40005999999999997,20,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
162,0.02,80.0002,0.6000399999999999,2,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
163,0.02,80.0002,0.6000399999999999,5,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
164,0.02,80.0002,0.6000399999999999,9,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
165,0.02,80.0002,0.6000399999999999,12,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
166,0.02,80.0002,0.6000399999999999,16,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
167,0.02,80.0002,0.6000399999999999,20,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
168,0.02,80.0002,0.80002,2,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
169,0.02,80.0002,0.80002,5,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
170,0.02,80.0002,0.80002,9,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
171,0.02,80.0002,0.80002,12,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
172,0.02,80.0002,0.80002,16,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
173,0.02,80.0002,0.80002,20,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
174,0.02,80.0002,1.0,2,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
175,0.02,80.0002,1.0,5,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
176,0.02,80.0002,1.0,9,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
177,0.02,80.0002,1.0,12,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
178,0.02,80.0002,1.0,16,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
179,0.02,80.0002,1.0,20,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
180,0.02,100.0,0.0001,2,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
181,0.02,100.0,0.0001,5,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
182,0.02,100.0,0.0001,9,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
183,0.02,100.0,0.0001,12,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
184,0.02,100.0,0.0001,16,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
185,0.02,100.0,0.0001,20,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
186,0.02,100.0,0.20007999999999998,2,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
187,0.02,100.0,0.20007999999999998,5,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
188,0.02,100.0,0.20007999999999998,9,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
189,0.02,100.0,0.20007999999999998,12,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
190,0.02,100.0,0.20007999999999998,16,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
191,0.02,100.0,0.20007999999999998,20,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
192,0.02,100.0,0.40005999999999997,2,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
193,0.02,100.0,0.40005999999999997,5,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
194,0.02,100.0,0.40005999999999997,9,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
195,0.02,100.0,0.40005999999999997,12,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
196,0.02,100.0,0.40005999999999997,16,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
197,0.02,100.0,0.40005999999999997,20,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
198,0.02,100.0,0.6000399999999999,2,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
199,0.02,100.0,0.6000399999999999,5,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
200,0.02,100.0,0.6000399999999999,9,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
201,0.02,100.0,0.6000399999999999,12,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
202,0.02,100.0,0.6000399999999999,16,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
203,0.02,100.0,0.6000399999999999,20,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
204,0.02,100.0,0.80002,2,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
205,0.02,100.0,0.80002,5,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
206,0.02,100.0,0.80002,9,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
207,0.02,100.0,0.80002,12,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
208,0.02,100.0,0.80002,16,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
209,0.02,100.0,0.80002,20,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
210,0.02,100.0,1.0,2,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
211,0.02,100.0,1.0,5,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
212,0.02,100.0,1.0,9,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
213,0.02,100.0,1.0,12,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
214,0.02,100.0,1.0,16,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
215,0.02,100.0,1.0,20,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
216,0.216,0.001,0.0001,2,-0.13521875787006232,6.00145806220162,160.0,160.11251512256112
217,0.216,0.001,0.0001,5,-0.13332217956715842,5.991431593675047,161.0,161.1114435803419
218,0.216,0.001,0.0001,9,-0.13069168280684895,5.9775251849936275,162.0,162.1102427588622
