,eta,epsilon,mu,K,r2,mse,CB_size,tradeOff_dist
123,0.02,60.0004,0.40005999999999997,12,,,,
124,0.02,60.0004,0.40005999999999997,16,,,,
125,0.02,60.0004,0.40005999999999997,20,,,,
126,0.02,60.0004,0.6000399999999999,2,,,,
127,0.02,60.0004,0.6000399999999999,5,,,,
128,0.02,60.0004,0.6000399999999999,9,,,,
129,0.02,60.0004,0.6000399999999999,12,,,,
130,0.02,60.0004,0.6000399999999999,16,,,,
131,0.02,60.0004,0.6000399999999999,20,,,,
132,0.02,60.0004,0.80002,2,,,,
133,0.02,60.0004,0.80002,5,,,,
134,0.02,60.0004,0.80002,9,,,,
135,0.02,60.0004,0.80002,12,,,,
136,0.02,60.0004,0.80002,16,,,,
137,0.02,60.0004,0.80002,20,,,,
138,0.02,60.0004,1.0,2,,,,
139,0.02,60.0004,1.0,5,,,,
140,0.02,60.0004,1.0,9,,,,
141,0.02,60.0004,1.0,12,,,,
142,0.02,60.0004,1.0,16,,,,
143,0.02,60.0004,1.0,20,,,,
144,0.02,80.0002,0.0001,2,,,,
145,0.02,80.0002,0.0001,5,,,,
146,0.02,80.0002,0.0001,9,,,,
147,0.02,80.0002,0.0001,12,,,,
148,0.02,80.0002,0.0001,16,,,,
149,0.02,80.0002,0.0001,20,,,,
150,0.02,80.0002,0.20007999999999998,2,,,,
151,0.02,80.0002,0.20007999999999998,5,,,,
152,0.02,80.0002,0.20007999999999998,9,,,,
153,0.02,80.0002,0.20007999999999998,12,,,,
154,0.02,80.0002,0.20007999999999998,16,,,,
155,0.02,80.0002,0.20007999999999998,20,,,,
156,0.02,80.0002,0.40005999999999997,2,,,,
157,0.02,80.0002,0.40005999999999997,5,,,,
158,0.02,80.0002,0.40005999999999997,9,,,,
159,0.02,80.0002,0.40005999999999997,12,,,,
160,0.02,80.0002,0.40005999999999997,16,,,,
161,0.02,80.0002,0.40005999999999997,20,,,,
162,0.02,80.0002,0.6000399999999999,2,,,,
163,0.02,80.0002,0.6000399999999999,5,,,,
164,0.02,80.0002,0.6000399999999999,9,,,,
165,0.02,80.0002,0.6000399999999999,12,,,,
166,0.02,80.0002,0.6000399999999999,16,,,,
167,0.02,80.0002,0.6000399999999999,20,,,,
168,0.02,80.0002,0.80002,2,,,,
169,0.02,80.0002,0.80002,5,,,,
170,0.02,80.0002,0.80002,9,,,,
171,0.02,80.0002,0.80002,12,,,,
172,0.02,80.0002,0.80002,16,,,,
173,0.02,80.0002,0.80002,20,,,,
174,0.02,80.0002,1.0,2,,,,
175,0.02,80.0002,1.0,5,,,,
176,0.02,80.0002,1.0,9,,,,
177,0.02,80.0002,1.0,12,,,,
178,0.02,80.0002,1.0,16,,,,
179,0.02,80.0002,1.0,20,,,,
180,0.02,100.0,0.0001,2,,,,
181,0.02,100.0,0.0001,5,,,,
182,0.02,100.0,0.0001,9,,,,
183,0.02,100.0,0.0001,12,,,,
184,0.02,100.0,0.0001,16,-0.0032178787069223613,7043857.266436118,14.0,7043857.266450031
