,eta,epsilon,mu,K,r2,mse,CB_size,tradeOff_dist
0,0.02,0.001,0.0001,2,-1.4333996166572573,179.15455120024814,461.0,494.5880641662942
1,0.02,0.001,0.0001,11,-1.377049722708041,175.00589436166385,461.0,493.1004594008465
2,0.02,0.001,0.0001,20,-1.3398082095062511,172.26405675389353,461.0,492.13403179348273
3,0.02,0.001,0.50005,2,-1.5623732014356415,188.64999310773035,452.0,489.78854610897827
4,0.02,0.001,0.50005,11,,,,
5,0.02,0.001,0.50005,20,,,,
6,0.02,0.001,1.0,2,-6.70499986038866,567.2663801443883,461.0,730.9665833963394
7,0.02,0.001,1.0,11,,,,
8,0.02,0.001,1.0,20,,,,
9,0.02,50.000499999999995,0.0001,2,-2.4746027192314544,255.8112060600157,1.0,255.81316061899514
10,0.02,50.000499999999995,0.0001,11,-2.4746027192314544,255.8112060600157,1.0,255.81316061899514
11,0.02,50.000499999999995,0.0001,20,-2.4746027192314544,255.8112060600157,1.0,255.81316061899514
12,0.02,50.000499999999995,0.50005,2,-2.4746027192314544,255.8112060600157,1.0,255.81316061899514
13,0.02,50.000499999999995,0.50005,11,-2.4746027192314544,255.8112060600157,1.0,255.81316061899514
14,0.02,50.000499999999995,0.50005,20,-2.4746027192314544,255.8112060600157,1.0,255.81316061899514
15,0.02,50.000499999999995,1.0,2,-2.4746027192314544,255.8112060600157,1.0,255.81316061899514
16,0.02,50.000499999999995,1.0,11,-2.4746027192314544,255.8112060600157,1.0,255.81316061899514
17,0.02,50.000499999999995,1.0,20,-2.4746027192314544,255.8112060600157,1.0,255.81316061899514
18,0.02,100.0,0.0001,2,-2.4746027192314544,255.8112060600157,1.0,255.81316061899514
19,0.02,100.0,0.0001,11,-2.4746027192314544,255.8112060600157,1.0,255.81316061899514
20,0.02,100.0,0.0001,20,-2.4746027192314544,255.8112060600157,1.0,255.81316061899514
21,0.02,100.0,0.50005,2,-2.4746027192314544,255.8112060600157,1.0,255.81316061899514
22,0.02,100.0,0.50005,11,-2.4746027192314544,255.8112060600157,1.0,255.81316061899514
23,0.02,100.0,0.50005,20,-2.4746027192314544,255.8112060600157,1.0,255.81316061899514
24,0.02,100.0,1.0,2,-2.4746027192314544,255.8112060600157,1.0,255.81316061899514
25,0.02,100.0,1.0,11,-2.4746027192314544,255.8112060600157,1.0,255.81316061899514
26,0.02,100.0,1.0,20,-2.4746027192314544,255.8112060600157,1.0,255.81316061899514
27,0.51,0.001,0.0001,2,0.9027358583039345,7.160892742053183,461.0,461.0556131150159
28,0.51,0.001,0.0001,11,0.906531171207226,6.881469841186721,461.0,461.0513579062263
29,0.51,0.001,0.0001,20,0.9094113376433453,6.669422908281485,461.0,461.0482417295716
30,0.51,0.001,0.50005,2,-3.3471685379105987,320.05225244140723,461.0,561.2080222990564
31,0.51,0.001,0.50005,11,,,,
32,0.51,0.001,0.50005,20,,,,
33,0.51,0.001,1.0,2,-2.5339131416858938,260.1778263403783,461.0,529.3519635546883
34,0.51,0.001,1.0,11,,,,
35,0.51,0.001,1.0,20,,,,
36,0.51,50.000499999999995,0.0001,2,0.6434036694408951,26.253746044692516,1.0,26.27278404317304
37,0.51,50.000499999999995,0.0001,11,0.6434036694408951,26.253746044692516,1.0,26.27278404317304
38,0.51,50.000499999999995,0.0001,20,0.6434036694408951,26.253746044692516,1.0,26.27278404317304
39,0.51,50.000499999999995,0.50005,2,0.6434036694408951,26.253746044692516,1.0,26.27278404317304
40,0.51,50.000499999999995,0.50005,11,0.6434036694408951,26.253746044692516,1.0,26.27278404317304
41,0.51,50.000499999999995,0.50005,20,0.6434036694408951,26.253746044692516,1.0,26.27278404317304
42,0.51,50.000499999999995,1.0,2,0.6434036694408951,26.253746044692516,1.0,26.27278404317304
43,0.51,50.000499999999995,1.0,11,0.6434036694408951,26.253746044692516,1.0,26.27278404317304
44,0.51,50.000499999999995,1.0,20,0.6434036694408951,26.253746044692516,1.0,26.27278404317304
45,0.51,100.0,0.0001,2,0.6434036694408951,26.253746044692516,1.0,26.27278404317304
46,0.51,100.0,0.0001,11,0.6434036694408951,26.253746044692516,1.0,26.27278404317304
47,0.51,100.0,0.0001,20,0.6434036694408951,26.253746044692516,1.0,26.27278404317304
48,0.51,100.0,0.50005,2,0.6434036694408951,26.253746044692516,1.0,26.27278404317304
49,0.51,100.0,0.50005,11,0.6434036694408951,26.253746044692516,1.0,26.27278404317304
50,0.51,100.0,0.50005,20,0.6434036694408951,26.253746044692516,1.0,26.27278404317304
51,0.51,100.0,1.0,2,0.6434036694408951,26.253746044692516,1.0,26.27278404317304
52,0.51,100.0,1.0,11,0.6434036694408951,26.253746044692516,1.0,26.27278404317304
53,0.51,100.0,1.0,20,0.6434036694408951,26.253746044692516,1.0,26.27278404317304
54,1.0,0.001,0.0001,2,0.9749241261443472,1.846164886281507,461.0,461.00369664980707
55,1.0,0.001,0.0001,11,0.9764227028210803,1.7358349469975995,461.0,461.00326801766084
56,1.0,0.001,0.0001,20,0.9774063459278651,1.6634160404888048,461.0,461.00300102377184
57,1.0,0.001,0.50005,2,-4.983851910189226,440.55004204009185,461.0,637.6561295412495
58,1.0,0.001,0.50005,11,,,,
59,1.0,0.001,0.50005,20,,,,
60,1.0,0.001,1.0,2,,,,
61,1.0,0.001,1.0,11,,,,
62,1.0,0.001,1.0,20,,,,
63,1.0,50.000499999999995,0.0001,2,0.8735885971119195,9.306805999303174,1.0,9.360375949109391
64,1.0,50.000499999999995,0.0001,11,0.8735885971119195,9.306805999303174,1.0,9.360375949109391
65,1.0,50.000499999999995,0.0001,20,0.8735885971119195,9.306805999303174,1.0,9.360375949109391
66,1.0,50.000499999999995,0.50005,2,0.8735885971119195,9.306805999303174,1.0,9.360375949109391
67,1.0,50.000499999999995,0.50005,11,0.8735885971119195,9.306805999303174,1.0,9.360375949109391
68,1.0,50.000499999999995,0.50005,20,0.8735885971119195,9.306805999303174,1.0,9.360375949109391
69,1.0,50.000499999999995,1.0,2,0.8735885971119195,9.306805999303174,1.0,9.360375949109391
70,1.0,50.000499999999995,1.0,11,0.8735885971119195,9.306805999303174,1.0,9.360375949109391
71,1.0,50.000499999999995,1.0,20,0.8735885971119195,9.306805999303174,1.0,9.360375949109391
72,1.0,100.0,0.0001,2,0.8735885971119195,9.306805999303174,1.0,9.360375949109391
73,1.0,100.0,0.0001,11,0.8735885971119195,9.306805999303174,1.0,9.360375949109391
74,1.0,100.0,0.0001,20,0.8735885971119195,9.306805999303174,1.0,9.360375949109391
