,MSE
0,2.4325654839319375
1,1.4691581813547696
2,1.0146937837393497
3,0.7862437955384435
4,0.6652739850295993
5,0.5987124055721933
6,0.5611202305258194
7,0.5395328874098622
8,0.5270119316686389
9,0.5197101949996457
10,0.5154430489354385
11,0.5129508249375423
12,0.5115002579867354
13,0.5106620311067277
14,0.5101839084877163
15,0.5099173859756014
16,0.5097749232286236
17,0.5097048788698322
18,0.5096767754875885
19,0.5096726213646814
20,0.5096817937653331
21,0.5096980201568276
22,0.5097175964888754
23,0.5097383353558644
24,0.5097589449578176
25,0.5097786623870518
26,0.5097970370780096
27,0.509813802926137
28,0.5098288027672053
29,0.5098419437773549
30,0.5098531711334093
31,0.5098624524570213
32,0.509869768627455
33,0.5098751083555744
34,0.5098784649791623
35,0.5098798345701595
36,0.5098792148167348
37,0.5098766043629867
38,0.5098720024189332
39,0.5098654085301458
40,0.5098568224416791
41,0.5098462440176933
42,0.5098336731939753
43,0.5098191099498958
44,0.5098025542918398
45,0.5097840062434222
46,0.5097634658397057
47,0.5097409331237884
48,0.5097164081447874
49,0.509689890956649
50,0.5096613816174456
51,0.5096308801889636
52,0.5095983867364591
53,0.5095639013285181
54,0.5095274240369709
55,0.509488954936847
56,0.5094484941063485
57,0.5094060416268364
58,0.5093615975828232
59,0.5093151620619726
60,0.5092667351550997
61,0.5092163169561739
62,0.509163907562322
63,0.5091095070738337
64,0.509053115594165
65,0.5089947332299454
66,0.508934360090982
67,0.5088719962902672
68,0.5088076419439824
69,0.5087412971715065
70,0.5086729620954216
71,0.5086026368415195
72,0.5085303215388102
73,0.5084560163195277
74,0.5083797213191383
75,0.5083014366763469
76,0.5082211625331068
77,0.5081388990346271
78,0.5080546463293802
79,0.5079684045691109
80,0.5078801739088454
81,0.5077899545068999
82,0.5076977465248893
83,0.5076035501277376
84,0.5075073654836862
85,0.5074091927643049
86,0.5073090321445003
87,0.5072068838025279
88,0.5071027479200004
89,0.5069966246819007
90,0.5068885142765903
91,0.5067784168958221
92,0.5066663327347498
93,0.5065522619919417
94,0.50643620486939
95,0.5063181615725252
96,0.5061981323102251
97,0.5060761172948298
98,0.5059521167421527
99,0.5058261308714938
100,0.5056981599056518
101,0.505568204070939
102,0.5054362635971925
103,0.5053023387177892
104,0.5051664296696597
105,0.5050285366933014
106,0.5048886600327922
107,0.5047467999358081
108,0.504602956653633
109,0.504457130441178
110,0.5043093215569936
111,0.504159530263287
112,0.5040077568259362
113,0.5038540015145061
114,0.5036982646022645
115,0.503540546366199
116,0.5033808470870322
117,0.5032191670492395
118,0.503055506541064
119,0.5028898658545369
120,0.502722245285491
121,0.5025526451335813
122,0.5023810657023003
123,0.5022075072989984
124,0.5020319702348999
125,0.5018544548251223
126,0.5016749613886952
127,0.501493490248579
128,0.5013100417316833
129,0.501124616168888
130,0.5009372138950602
131,0.5007478352490763
132,0.5005564805738405
133,0.5003631502163062
134,0.5001678445274959
135,0.49997056386252114
136,0.4997713085806046
137,0.4995700790451013
138,0.49936687562351856
139,0.4991616986875389
140,0.4989545486130418
141,0.4987454257801247
142,0.4985343305731271
143,0.4983212633806513
144,0.49810622459558673
145,0.49788921461513147
146,0.49767023384081654
147,0.49744928267853017
148,0.4972263615385384
149,0.4970014708355128
150,0.49677461098855247
151,0.4965457824212096
152,0.49631498556151277
153,0.49608222084199305
154,0.49584748869970996
155,0.4956107895762738
156,0.49537212391787494
157,0.4951314921753076
158,0.4948888948039969
159,0.4946443322640237
160,0.49439780502015407
161,0.49414931354186353
162,0.49389885830336516
163,0.49364643978363754
164,0.4933920584664524
165,0.493135714840401
166,0.49287740939892366
167,0.4926171426403383
168,0.4923549150678681
169,0.49209072718967106
170,0.49182457951886915
171,0.4915564725735776
172,0.4912864068769345
173,0.4910143829571309
174,0.49074040134744124
175,0.49046446258625287
176,0.49018656721709775
177,0.4899067157886827
178,0.4896249088549218
179,0.4893411469749659
180,0.48905543071323687
181,0.4887677606394578
182,0.4884781373286844
183,0.4881865613613414
184,0.4878930333232512
185,0.4875975538056696
186,0.48730012340531714
187,0.4870007427244152
188,0.4866994123707178
189,0.48639613295754613
190,0.486090905103824
191,0.4857837294341125
192,0.48547460657864283
193,0.4851635371733545
194,0.48485052185992905
195,0.4845355612858264
196,0.4842186561043207
197,0.48389980697453794
198,0.4835790145614902
199,0.48325627953611483
200,0.482931602575311
201,0.48260498436197685
202,0.4822764255850469
203,0.4819459269395321
204,0.481613489126556
205,0.4812791128533944
206,0.48094279883351376
207,0.4806045477866119
208,0.4802643604386556
209,0.47992223752192165
210,0.4795781797750365
211,0.4792321879430175
212,0.478884262777312
213,0.47853440503583955
214,0.47818261548303354
215,0.47782889488988145
216,0.47747324403396796
217,0.47711566369951686
218,0.47675615467743326
219,0.4763947177653467
220,0.47603135376765393
221,0.47566606349556295
222,0.4752988477671358
223,0.47492970740733415
224,0.4745586432480624
225,0.4741856561282125
226,0.4738107468937087
227,0.47343391639755417
228,0.4730551654998758
229,0.4726744950679691
230,0.47229190597634596
231,0.47190739910678126
232,0.4715209753483581
233,0.4711326355975167
234,0.47074238075810215
235,0.4703502117414107
236,0.4699561294662382
237,0.46956013485893044
238,0.4691622288534303
239,0.46876241239132743
240,0.4683606864219074
241,0.4679570519022029
242,0.46755150979704174
243,0.46714406107909867
244,0.4667347067289478
245,0.46632344773511036
246,0.46591028509410837
247,0.4654952198105171
248,0.4650782528970159
249,0.46465938537444085
250,0.46423861827183877
251,0.4638159526265198
252,0.4633913894841113
253,0.46296492989861004
254,0.4625365749324404
255,0.46210632565650567
256,0.46167418315024356
257,0.46124014850168304
258,0.4608042228075
259,0.46036640717307103
260,0.45992670271253244
261,0.4594851105488363
262,0.4590416318138073
263,0.4585962676482003
264,0.458149019201759
265,0.45769988763327474
266,0.45724887411064197
267,0.4567959798109218
268,0.45634120592039884
269,0.45588455363464053
270,0.4554260241585596
271,0.45496561870647234
272,0.4545033385021613
273,0.45403918477893535
274,0.45357315877969184
275,0.45310526175698085
276,0.4526354949730629
277,0.4521638596999764
278,0.4516903572195998
279,0.4512149888237136
280,0.4507377558140655
281,0.45025865950243626
282,0.4497777012107027
283,0.4492948822709031
284,0.44881020402530414
285,0.44832366782646704
286,0.4478352750373118
287,0.4473450270311874
288,0.446852925191936
289,0.4463589709139635
290,0.44586316560230577
291,0.4453655106726973
292,0.44486600755164285
293,0.44436465767648237
294,0.443861462495465
295,0.44335642346781756
296,0.44284954206381455
297,0.4423408197648513
298,0.44183025806351384
299,0.4413178584636519
300,0.4408036224804506
301,0.4402875516405036
302,0.43976964748188796
303,0.43924991155423454
304,0.43872834541880557
305,0.4382049506485681
306,0.43767972882826833
307,0.43715268155450804
308,0.43662381043582055
309,0.43609311709274823
310,0.4355606031579158
311,0.4350262702761123
312,0.43449012010436716
313,0.43395215431202705
314,0.43341237458083626
315,0.4328707826050161
316,0.4323273800913443
317,0.4317821687592347
318,0.4312351503408183
319,0.43068632658102535
320,0.43013569923766504
321,0.4295832700815092
322,0.4290290408963757
323,0.4284730134792083
324,0.42791518964016395
325,0.42735557120269474
326,0.4267941600036329
327,0.42623095789327603
328,0.42566596673547286
329,0.42509918840770966
330,0.4245306248011954
331,0.42396027782095036
332,0.42338814938589375
333,0.4228142414289304
334,0.42223855589704073
335,0.4216610947513699
336,0.42108185996731673
337,0.42050085353462463
338,0.41991807745747145
339,0.4193335337545626
340,0.4187472244592203
341,0.41815915161947803
342,0.4175693172981729
343,0.416977723573038
344,0.41638437253679705
345,0.41578926629726043
346,0.41519240697741755
347,0.41459379671553354
348,0.41399343766524654
349,0.41339133199566347
350,0.41278748189145653
351,0.4121818895529621
