,Ka,embedding,epsilon,eta,mu,split0_r2,split1_r2,split2_r2,split3_r2,split4_r2,split5_r2,split6_r2,split7_r2,split8_r2,split9_r2,r2_mean,r2_std
0,10,5,1.3055267521432878,0.08428303845098711,0.4336547993389047,0.39805878155911834,0.22278837970331092,0.4831613436477403,0.02525917733354253,0.33690317693472094,-0.08266327625819056,0.5389657623039275,0.5501771271255658,0.41842893024380456,0.21566075930947423,0.3106740161903015,0.20300078501657348
1,10,7,0.975174422525385,0.32741274355183697,0.9736627605010293,-0.09625228086042532,-0.027166447854815014,-0.016845646973338995,-0.03154310370581496,-0.08493554346212606,-0.06661668894449677,-0.10942527173164991,-0.015449503599807285,-0.0794865267359215,-0.10867023210564768,-0.06363912459740435,0.03574019194210534
2,6,5,0.8855695922016594,0.26331326638872216,0.3473961604172684,-0.11675838280587036,0.4583543426864267,0.30806921550077443,-0.050933342923779455,-0.10942397057742066,0.04132289685442404,0.2906638463505492,0.003317728228129252,0.2155378812252713,0.23986085563505566,0.128001107017356,0.18961716977774912
3,9,8,0.8364830796810959,0.42284179186531057,0.15035078041264516,0.39440629641544206,0.5307850931915402,0.29782572098450355,-0.3530526444041032,-0.08411178118659497,-0.17832784622252382,0.44324902010168127,0.14385008234953603,0.0829564832504422,0.24761839448950243,0.1525198818969426,0.272442127388047
4,5,7,1.047216090547421,0.22946864108986284,0.5304774795512048,-0.04816040464845015,-0.03009639017446375,-0.04100974363113363,-0.04368967309434636,-0.0029021849020766932,-0.07102246736380072,-0.024693248865796723,0.05584086134564403,-0.08643498815856493,-0.00032873815662739505,-0.02924969776496163,0.038094675246769905
5,8,5,1.2640395841502143,0.08184289779753509,0.7686156243223572,-0.054132943300149436,0.2685163734464798,-0.03116709563328604,-0.027267473639458965,-0.04617407071235913,-0.08142211769673074,-0.059207558244333255,-0.01585480495082669,-0.03054559608917961,-0.06637434473421047,-0.014362963155405459,0.09619796107560619
6,9,8,0.4726646866535199,0.17864953025317756,0.22655035442437188,-0.12942264227444206,0.03796168692515854,0.24899135866112077,0.1947870379532672,0.003098482124018559,-0.02687131309745065,-0.05754490246795082,-0.054132631544270525,-0.07367177870021674,-0.041269725800629285,0.010192557177860504,0.11454050005709836
7,5,5,0.7482820155864282,0.01795945319595433,0.23232138825158766,0.5568052060086268,0.38549900864287684,0.48783834500672657,0.2474467829590335,0.25405138221025986,0.327013497942537,0.3510211348649146,0.24612467528723178,0.030680087462139006,0.11700300942222883,0.3003483129806575,0.15022339723976258
8,6,9,1.463640598206967,0.04081249443461285,0.44703195379934146,0.0019266125235627763,0.03368783737268192,-0.032358198054246466,-0.014575488746990406,0.1722379441119219,-0.04115978080241648,-0.027430641010666168,0.2837340667811565,-0.07177171634990662,-0.0461564590811647,0.025813417674393224,0.10753318111384315
9,6,6,2.0396181354934977,0.12872571994414425,0.18090958513604516,0.3049082213500071,0.29307242498586056,0.6423101363570762,0.39537892078709064,0.3600370275937192,0.46813565701502613,0.41031368254550005,0.7385931006731637,0.18691293208653526,0.5651706453102954,0.43648327487042743,0.1611148109711509
10,7,8,1.6013722824369125,0.10781670964151932,0.3350472290083525,0.4928184417391015,0.3214238441604044,0.5225957220218338,0.4649804418926381,0.10817560610839157,0.32781069782073385,0.34219406273059644,0.2542479350917447,-0.07380497987610507,0.21609997160827693,0.29765417432976166,0.17394346966316782
11,9,8,2.0767476761184525,0.014906341705563488,0.2188767560948347,0.26050479972664864,0.35295761150993693,0.38359984897373806,-0.032760007613334086,0.08993258270529704,0.3269593805888631,-0.2140667122618296,0.19432336705140973,0.37995696711924165,0.029522297385128793,0.17709301351851,0.19257721340737122
